id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Segment,Silhouette
1,38,Female,99342,90,3,24,Groceries,113.53,3,0.09429890713440925
2,21,Female,78852,60,2,42,Sports,41.93,3,0.01706679916931795
3,60,Female,126573,30,2,28,Clothing,424.36,1,0.14650357596705624
4,40,Other,47099,74,9,5,Home & Garden,991.93,0,0.02423324908210688
5,65,Female,140621,21,3,25,Electronics,347.08,1,0.18067146735965375
6,31,Other,57305,24,3,30,Home & Garden,86.85,1,0.05307394128013056
7,19,Other,54319,68,5,43,Clothing,191.72,3,0.18409385450796956
8,43,Male,108115,94,9,27,Groceries,734.56,2,0.221461868685736
9,53,Male,34424,29,6,7,Sports,951.71,0,0.26338800896677306
10,55,Female,45839,55,7,2,Electronics,821.18,0,0.10653429557361235
11,23,Other,69659,16,7,24,Clothing,434.97,1,0.002642186872420089
12,68,Other,30058,91,1,49,Groceries,889.94,0,0.03469395565101161
13,29,Female,87461,81,3,27,Home & Garden,101.07,3,0.11023198002933049
14,64,Other,33018,46,4,3,Sports,221.35,3,0.06678395800981334
15,33,Male,112260,17,5,8,Home & Garden,915.89,0,0.1255325597549531
16,53,Male,129284,17,6,26,Clothing,225.4,1,0.2646966898393373
17,57,Male,102535,29,5,13,Clothing,378.47,1,0.12017238978679753
18,22,Male,41849,22,1,31,Sports,844.08,0,0.23072065977541006
19,37,Male,95491,90,6,21,Home & Garden,454.83,3,0.07428270581266065
20,31,Male,97103,70,3,17,Groceries,61.3,1,0.0002130460500341903
21,19,Female,82519,13,4,4,Home & Garden,742.39,0,0.12278083147539959
22,22,Male,49077,74,10,47,Home & Garden,799.31,2,0.015466182945527119
23,36,Other,85473,68,1,16,Sports,806.55,0,0.08331175017316543
24,41,Other,81758,87,7,9,Clothing,482.2,3,0.15987948511463873
25,69,Female,36140,78,5,39,Sports,508.86,3,0.10170374569165293
26,33,Other,141757,60,10,39,Groceries,83.27,1,0.059475710957236666
27,54,Male,35394,10,9,4,Groceries,124.29,3,0.01993062267441998
28,30,Female,50680,19,7,27,Sports,515.88,0,0.1138619228616947
29,18,Female,70721,78,7,1,Home & Garden,191.9,3,0.15593241454471027
30,23,Male,104106,30,4,20,Electronics,950.56,0,0.0854661699634033
31,36,Other,76756,16,8,27,Clothing,970.06,0,0.1449202192753374
32,60,Female,45733,69,2,18,Electronics,197.29,3,0.17647440868246894
33,29,Male,71951,2,6,47,Electronics,91.94,1,0.14823199034307835
34,44,Other,86593,89,4,37,Groceries,76.95,3,0.15518000696688464
35,45,Other,43138,54,10,48,Sports,639.22,3,0.014770605091442771
36,30,Female,73464,37,1,6,Clothing,532.51,0,0.0790566041469545
37,47,Male,108074,78,4,38,Electronics,128.2,1,0.001492368434588298
38,48,Other,81794,89,7,50,Electronics,967.99,2,0.22942645816940738
39,31,Female,75392,43,4,29,Sports,88.44,1,0.03475676852844661
40,22,Male,107057,14,5,41,Home & Garden,98.86,1,0.23672429903071537
41,23,Male,70723,31,1,48,Home & Garden,713.33,0,0.12760345363761671
42,52,Male,115529,70,2,34,Clothing,192.66,1,0.0976132270457897
43,35,Male,72179,6,6,45,Home & Garden,165.18,1,0.13696552509015691
44,28,Other,62405,79,5,50,Home & Garden,956.73,2,0.08722791472630612
45,50,Male,42404,45,4,31,Home & Garden,753.6,0,0.20867000484932524
46,49,Other,94531,28,5,42,Clothing,214.93,1,0.19368792131356657
47,56,Male,129005,40,6,8,Electronics,355.34,1,0.16469211600007555
48,48,Male,76317,94,9,3,Electronics,189.28,3,0.20728428326115522
49,19,Other,85309,65,5,10,Sports,28.55,3,0.04099239332724974
50,68,Female,146519,96,2,18,Groceries,673.79,2,0.15171452361552842
51,61,Female,61290,83,9,35,Clothing,110.32,3,0.20979907996271518
52,24,Female,96082,83,4,36,Sports,589.35,2,0.048484280380991736
53,45,Other,134241,73,9,16,Groceries,893.44,2,0.2889337221979369
54,33,Female,45136,84,9,38,Home & Garden,332.34,3,0.24053744565717713
55,56,Female,85476,55,2,41,Sports,774.5,0,0.026215811363878853
56,42,Other,73466,50,4,13,Sports,903.07,0,0.1948410522730975
57,63,Other,49607,7,9,20,Electronics,195.34,1,-0.0028595106616517464
58,49,Female,112198,48,5,24,Sports,843.87,2,0.10421670964709003
59,43,Female,81595,12,7,1,Electronics,806.26,0,0.19062261717494813
60,21,Female,139387,1,5,7,Clothing,399.58,1,0.18535828714564606
61,23,Male,69133,14,6,7,Groceries,224.86,1,0.09484380038964997
62,30,Other,89149,87,10,36,Clothing,174.41,3,0.12348981825451763
63,49,Female,79992,49,8,6,Sports,636.65,0,0.045965127477105565
64,50,Female,85111,31,1,19,Electronics,319.05,1,0.06416258664289799
65,27,Other,90557,36,2,2,Sports,494.55,1,0.009735084880399002
66,32,Male,100270,69,3,29,Home & Garden,686.05,2,0.11516434440700853
67,36,Female,127346,75,5,7,Electronics,335.98,1,0.07533877718632292
68,43,Female,87807,52,9,41,Clothing,95.08,1,-0.0077612692058067105
69,32,Male,135861,88,5,16,Electronics,103.33,1,0.06681831611586936
70,49,Other,40936,32,9,49,Sports,495.62,0,0.01758895538044805
71,23,Female,66376,60,1,18,Electronics,77.73,3,0.06373312906307378
72,58,Other,56120,30,3,50,Groceries,880.23,0,0.1775771229825207
73,31,Female,112452,21,1,5,Groceries,552.21,1,0.03628330231870894
74,38,Female,102944,63,8,9,Home & Garden,92.69,1,0.020373403740749942
75,58,Other,143037,56,8,42,Groceries,57.57,1,0.07537582388225834
76,60,Female,131101,68,8,28,Home & Garden,522.95,2,0.20162626430520186
77,49,Male,30708,4,1,36,Groceries,990.0,0,0.3131894139971432
78,32,Other,44048,20,7,10,Clothing,41.55,3,0.017727954187323834
79,30,Other,95501,27,3,14,Groceries,476.25,1,0.054041034955660316
80,68,Other,45092,54,4,40,Electronics,738.6,0,0.13807608856156123
81,65,Other,117157,90,9,39,Electronics,812.36,2,0.2920332162983524
82,36,Female,148542,60,1,17,Groceries,15.66,1,0.2165343256862645
83,36,Female,99427,94,8,15,Sports,265.04,3,0.1453801942321836
84,56,Male,58971,77,9,35,Electronics,13.16,3,0.20956043850462716
85,19,Male,101100,43,3,14,Clothing,392.36,1,0.11940298610178765
86,31,Other,61849,24,6,31,Home & Garden,120.8,1,0.049184798963787676
87,59,Male,47990,3,10,48,Home & Garden,755.92,0,0.12308733620167281
88,31,Male,55100,20,7,31,Sports,59.84,1,0.02836876774668671
89,18,Other,105470,8,7,4,Clothing,746.18,0,0.03587659782551292
90,45,Other,63381,80,4,8,Home & Garden,754.24,3,0.021195674968617715
91,32,Other,92089,16,1,47,Home & Garden,209.86,1,0.14363855523696445
92,39,Other,104031,67,6,28,Home & Garden,930.36,2,0.2134760782092943
93,65,Male,62792,83,8,11,Electronics,230.58,3,0.21754615189098478
94,46,Other,113116,7,10,13,Clothing,190.55,1,0.21753578704280038
95,30,Other,75926,97,10,19,Sports,670.87,3,0.03136295652425452
96,23,Male,108480,46,10,21,Clothing,377.31,1,0.05066098669162885
97,63,Other,102834,31,7,20,Electronics,582.57,0,0.01454563650441092
98,49,Male,46695,99,9,26,Clothing,674.7,3,0.11713855610952359
99,21,Other,105024,45,3,32,Sports,795.84,2,0.017900266711976087
100,26,Female,59496,58,2,50,Clothing,23.33,3,0.07161334480556934
101,40,Female,115569,1,2,5,Groceries,241.91,1,0.17967787166167073
102,18,Male,49346,70,7,38,Groceries,127.14,3,0.21404082240760805
103,19,Male,75430,50,7,32,Clothing,532.51,3,0.0541442700579051
104,60,Female,142407,4,2,1,Sports,29.58,1,0.22619258618932703
105,20,Other,34982,7,2,45,Clothing,597.15,0,0.1602409717587886
106,55,Female,147187,37,7,27,Electronics,941.67,2,0.21651042350686667
107,19,Other,37993,59,6,30,Sports,873.8,0,0.04839991175981799
108,65,Male,81753,72,9,21,Home & Garden,633.63,2,0.06522124138477972
109,57,Female,81695,90,8,44,Electronics,179.8,3,0.10374871011563859
110,56,Female,40676,86,7,38,Home & Garden,627.65,3,0.12022535245705972
111,37,Male,111242,33,5,34,Sports,756.32,2,0.06705195228827014
112,64,Male,87006,85,7,20,Clothing,930.73,2,0.1460237464548773
113,58,Male,82856,33,7,20,Groceries,450.72,0,0.015403234641242288
114,32,Male,35514,4,5,36,Sports,415.44,0,0.13022594319360856
115,64,Male,87595,11,5,21,Electronics,69.78,1,0.18356355471995814
116,59,Male,125014,89,7,42,Home & Garden,451.82,2,0.2137669416167005
117,62,Male,128322,44,4,31,Electronics,668.91,2,0.12229760513389425
118,62,Male,48693,36,9,44,Home & Garden,755.67,0,0.07028145784338895
119,33,Male,113154,75,8,46,Groceries,895.58,2,0.31402431775178
120,68,Female,78309,12,2,49,Clothing,848.14,0,0.15732639325796732
121,47,Female,112072,50,5,21,Groceries,884.19,2,0.09335826456711373
122,43,Male,42855,66,6,23,Electronics,138.51,3,0.28495257012172864
123,26,Other,55515,29,9,37,Sports,50.57,3,0.027971779749506858
124,30,Male,51454,94,8,17,Home & Garden,553.35,3,0.22359542371104912
125,66,Other,69362,58,1,23,Clothing,960.08,0,0.16094112831654692
126,26,Female,69795,60,9,29,Electronics,389.37,3,0.15491521283253867
127,58,Male,32860,90,5,18,Sports,405.05,3,0.2394630338574861
128,40,Other,81037,70,10,45,Electronics,370.75,3,0.006860694551964976
129,67,Other,40385,64,1,17,Sports,957.06,0,0.17834584663307532
130,61,Female,131607,25,7,26,Clothing,714.15,2,0.10509853456808536
131,51,Male,42337,70,9,28,Sports,914.97,0,0.01441155774800069
132,67,Female,116124,78,10,28,Home & Garden,11.29,1,0.000892217941057686
133,25,Other,94016,85,8,49,Groceries,764.28,2,0.17880987257646064
134,26,Male,62131,91,6,18,Sports,70.56,3,0.2604409346082152
135,29,Female,100290,85,8,29,Clothing,480.87,2,0.02914640989698559
136,31,Male,145261,25,10,37,Sports,378.4,1,0.03636646507535493
137,48,Male,81763,49,6,46,Sports,179.25,1,0.001912195137643032
138,67,Female,120561,66,2,21,Clothing,798.2,2,0.08319377467598829
139,18,Female,99638,33,8,23,Groceries,316.27,1,0.12404572055569864
140,18,Female,78097,84,3,26,Clothing,453.34,3,0.15807399937002917
141,23,Other,67237,85,9,40,Electronics,673.02,3,-0.007153961995044168
142,37,Male,61695,13,5,45,Home & Garden,18.49,1,0.10085169896518213
143,55,Other,101084,73,9,24,Groceries,624.81,2,0.17805165874837026
144,41,Female,82613,49,3,10,Home & Garden,421.24,1,0.01000888954233897
145,44,Other,122987,29,10,25,Electronics,898.68,2,0.15832921251355841
146,58,Other,90389,17,5,12,Electronics,855.21,0,0.2219352425946279
147,69,Male,90929,2,10,29,Electronics,518.7,0,0.029102823526322062
148,47,Female,104517,91,2,6,Home & Garden,979.41,2,0.054772558634970755
149,34,Other,79949,89,3,19,Groceries,273.34,3,0.20471462659721185
150,54,Male,100745,29,6,42,Clothing,335.15,1,0.11079055904086832
151,55,Other,138064,86,5,22,Electronics,368.75,2,0.07398464059513007
152,45,Female,79721,20,1,1,Home & Garden,215.41,1,0.0797090845408578
153,43,Male,33030,61,8,40,Groceries,711.04,3,0.026719792668476093
154,30,Other,78653,43,4,2,Electronics,933.73,0,0.18468941003563188
155,53,Other,146312,58,2,32,Electronics,880.78,2,0.18940125224524976
156,24,Female,103766,77,4,25,Home & Garden,663.21,2,0.08789404575996587
157,69,Female,51990,59,2,37,Clothing,762.41,0,0.14520387714089025
158,61,Other,46738,36,3,26,Groceries,393.6,0,0.07908007649699617
159,58,Other,107818,70,5,24,Home & Garden,722.18,2,0.18884656017526827
160,36,Other,83511,28,5,49,Home & Garden,367.97,1,0.08138439675582224
161,69,Female,117782,18,1,15,Sports,762.55,0,0.1004540641813268
162,64,Other,122472,75,1,17,Sports,771.33,2,0.08158614950426211
163,45,Male,76259,72,5,41,Sports,228.88,3,0.16427993622545273
164,60,Other,98771,37,8,42,Sports,520.37,2,0.10894692657274095
165,64,Other,96494,10,4,47,Home & Garden,184.45,1,0.1364344153420213
166,41,Female,48155,19,10,36,Groceries,566.65,0,0.09244684356120603
167,18,Other,46707,61,10,16,Clothing,18.6,3,0.16595690275366412
168,36,Other,87275,82,9,2,Clothing,14.52,3,0.11649003778491256
169,51,Female,58930,95,5,33,Sports,115.09,3,0.2883309878292596
170,37,Male,33987,60,8,39,Groceries,975.1,0,0.06550891554709683
171,21,Male,140801,13,3,43,Home & Garden,82.88,1,0.24038636569824243
172,19,Male,98446,25,4,34,Groceries,696.59,0,0.04861684117660707
173,56,Female,111754,96,8,38,Home & Garden,631.06,2,0.23671945071734188
174,47,Other,66932,89,5,9,Home & Garden,861.66,3,0.02424337268863928
175,33,Female,81766,86,1,16,Sports,160.11,3,0.12384175595210037
176,34,Male,79572,62,2,24,Sports,843.15,0,0.09049673160370679
177,65,Other,123680,30,2,35,Electronics,218.74,1,0.19689733713519134
178,67,Female,130300,75,5,27,Electronics,94.32,1,0.08902260109277445
179,45,Female,102050,57,8,39,Groceries,263.93,1,0.010352834214975173
180,48,Male,121325,30,3,35,Home & Garden,624.36,1,-0.004961230381851806
181,49,Male,76202,83,3,6,Groceries,208.79,3,0.16021256880817833
182,40,Male,136323,36,6,25,Electronics,625.28,2,0.05051562077348891
183,43,Female,32512,95,4,49,Home & Garden,223.39,3,0.25877257588034375
184,27,Male,63313,8,10,42,Groceries,35.01,1,0.06482334444174326
185,41,Female,104337,91,6,27,Home & Garden,401.63,3,0.00580657805700591
186,40,Other,124138,84,10,41,Groceries,426.62,2,0.1849955200730978
187,35,Male,137307,32,6,24,Electronics,111.27,1,0.2897432451164674
188,55,Male,77060,14,2,16,Sports,286.79,1,0.03506602710324309
189,45,Male,108335,62,1,35,Electronics,940.93,2,0.06270987908698965
190,41,Other,59408,68,1,16,Electronics,504.16,3,0.05455260166551517
191,35,Male,100208,80,2,27,Electronics,23.73,1,-0.022174762536163788
192,63,Other,109506,48,10,50,Electronics,26.85,1,0.04769449044652552
193,69,Female,39509,10,6,27,Groceries,377.66,0,0.13967443679890404
194,69,Male,74519,95,10,42,Clothing,931.51,2,0.167887424273603
195,67,Other,31806,79,8,13,Electronics,261.07,3,0.21942427446659818
196,48,Male,108550,5,6,35,Home & Garden,410.05,1,0.13735037392819102
197,34,Female,56125,66,10,26,Home & Garden,610.66,3,0.1000356784060442
198,39,Male,116566,76,9,21,Groceries,32.38,1,0.014633991606728425
199,45,Female,82014,30,10,15,Groceries,81.91,1,0.07090232908325987
200,63,Female,113240,47,9,22,Clothing,279.96,1,0.05887168122347351
201,45,Male,111788,28,9,49,Groceries,628.43,2,0.149610225467388
202,25,Male,30570,16,8,44,Sports,971.09,0,0.17017076556152244
203,66,Other,106631,41,6,9,Home & Garden,354.46,1,0.1194741433450737
204,49,Male,100258,53,6,27,Home & Garden,436.43,1,-0.00032733846615853754
205,27,Male,132541,78,8,42,Electronics,825.01,2,0.3134460444043267
206,34,Male,97962,18,3,19,Electronics,947.73,0,0.19660289283919657
207,58,Male,48714,75,10,40,Sports,324.91,3,0.1534006284333997
208,59,Female,70050,62,3,10,Clothing,49.53,3,0.06831319610707687
209,60,Female,124416,24,5,39,Home & Garden,544.04,1,-0.003577148275542854
210,47,Other,93783,24,10,3,Electronics,406.56,1,0.07341728497063651
211,40,Female,83445,89,7,11,Clothing,356.35,3,0.20912120597843634
212,18,Other,54421,20,1,41,Home & Garden,215.95,1,0.03895462425064915
213,47,Female,121498,29,9,28,Sports,706.37,2,0.15000961486881334
214,33,Male,84883,43,2,49,Home & Garden,956.03,0,0.035460832067203754
215,69,Other,127086,93,4,45,Electronics,339.9,2,0.1225928434088818
216,26,Other,133538,27,5,46,Electronics,761.08,2,0.10933035124219394
217,46,Female,82034,19,2,45,Sports,635.93,0,0.14123838859590432
218,55,Female,147024,24,9,16,Electronics,169.79,1,0.18911213934631071
219,57,Male,33009,82,9,24,Clothing,563.64,3,0.18223271600967247
220,69,Male,142216,90,7,29,Electronics,559.73,2,0.22886516920983538
221,62,Male,82623,51,8,37,Clothing,155.14,3,0.013644103803763226
222,67,Other,64134,3,2,26,Clothing,868.18,0,0.2883911077794227
223,53,Female,146546,12,6,45,Sports,915.02,2,0.13224900605502668
224,51,Female,33665,12,2,2,Groceries,139.07,0,0.0281883484076391
225,54,Female,92156,18,7,14,Electronics,238.87,1,0.1687380086730314
226,19,Female,51355,48,8,28,Home & Garden,278.21,3,0.15352391774978746
227,65,Male,89274,71,10,34,Electronics,840.45,2,0.2114586345601733
228,53,Male,57651,27,7,16,Home & Garden,345.62,0,0.027300683641954857
229,19,Other,52470,90,5,35,Groceries,515.99,3,0.1910088573564719
230,56,Male,31154,40,4,25,Electronics,197.54,3,0.09041743380560169
231,24,Female,147572,44,7,45,Electronics,204.27,1,0.09314463644978424
232,66,Male,144573,41,7,24,Groceries,66.6,1,0.1806763940912327
233,41,Female,88312,22,6,31,Groceries,212.53,1,0.20657476062302277
234,29,Female,96066,45,7,24,Sports,479.36,1,0.04434321660081421
235,19,Female,41542,21,1,22,Groceries,132.88,1,0.0034794031772904153
236,42,Other,66495,79,9,31,Sports,537.66,3,0.0856207747275906
237,62,Other,52480,22,3,14,Electronics,821.42,0,0.31276774875553
238,64,Other,148368,19,4,23,Groceries,949.32,2,0.04612473252160241
239,64,Female,124599,41,9,41,Groceries,924.18,2,0.21994306474773415
240,44,Female,121975,33,6,27,Groceries,640.96,2,0.06264441778894587
241,41,Female,41748,50,8,5,Sports,35.16,3,0.16170723794972455
242,31,Female,125501,74,3,18,Electronics,947.76,2,0.15496843636654062
243,25,Other,109583,6,4,30,Electronics,923.64,0,0.11017852146473212
244,47,Female,108356,84,6,19,Home & Garden,911.0,2,0.23654480562550517
245,28,Other,134414,19,5,15,Home & Garden,922.01,0,-0.0012264676209191566
246,44,Male,83880,31,6,32,Electronics,464.42,1,0.007691157939138343
247,54,Other,48896,28,9,25,Sports,244.79,3,0.06377560921773753
248,28,Other,48383,57,8,35,Sports,17.97,3,0.1821240275176479
249,54,Female,134743,98,9,42,Sports,894.21,2,0.33047369417898287
250,47,Male,91491,52,5,10,Home & Garden,21.43,1,0.0678942194230192
251,43,Male,89688,27,10,30,Electronics,223.64,1,0.11290634214998697
252,25,Other,105185,70,2,37,Groceries,556.23,2,0.06669094355527201
253,49,Other,129014,25,7,21,Groceries,271.52,1,0.23260610535580487
254,66,Other,112847,98,9,44,Home & Garden,827.44,2,0.2662462310307558
255,27,Other,139589,69,8,22,Clothing,150.58,1,0.10566031747271783
256,46,Other,38785,55,9,22,Clothing,486.25,3,0.13044529492453313
257,26,Male,134203,19,3,28,Sports,935.64,0,-0.007698114921163958
258,37,Other,86856,74,3,10,Electronics,624.29,3,0.049005482633614095
259,68,Male,49725,59,2,35,Groceries,12.36,3,0.09993309879953544
260,39,Female,56381,82,6,19,Sports,759.6,3,0.09770694161896981
261,39,Other,117432,96,7,41,Sports,25.44,3,0.05373577965022422
262,60,Other,45827,18,2,47,Electronics,599.66,0,0.21341562167739195
263,64,Other,115366,68,9,28,Electronics,934.88,2,0.2581409210842985
264,57,Female,31451,75,3,8,Electronics,611.79,3,0.03397120909348609
265,63,Male,142287,77,10,44,Clothing,785.29,2,0.31236016264291533
266,53,Other,84616,68,10,8,Home & Garden,543.31,3,0.02814604003125878
267,57,Female,114972,42,9,12,Home & Garden,999.74,2,0.09269756928295836
268,23,Other,101024,29,3,41,Groceries,484.85,1,0.08250664464298164
269,33,Female,118116,100,9,48,Sports,21.9,3,0.02804437976144177
270,28,Female,49020,75,9,49,Electronics,109.03,3,0.21231644854684403
271,69,Male,47458,14,2,10,Groceries,874.32,0,0.2926017954591291
272,52,Female,104033,6,5,15,Clothing,192.31,1,0.21971617649590935
273,47,Other,84117,74,9,17,Home & Garden,886.08,2,0.1446340350468583
274,60,Other,107232,68,4,48,Clothing,730.8,2,0.20253774545000028
275,22,Other,128623,88,5,20,Clothing,609.57,2,0.13344814102494615
276,39,Female,39931,43,1,28,Groceries,261.36,3,0.057355037118051025
277,53,Other,94392,38,5,11,Clothing,997.24,0,0.12940740729666012
278,63,Male,48225,24,6,14,Clothing,764.05,0,0.26518819268727023
279,47,Other,95656,63,2,30,Electronics,634.19,2,0.02675299325458596
280,53,Female,61826,96,1,14,Clothing,577.0,3,0.11474076588120498
281,61,Other,47689,46,4,42,Home & Garden,802.44,0,0.18039007561732076
282,34,Male,68250,9,10,26,Clothing,835.06,0,0.13504000470363442
283,33,Male,113187,27,9,46,Electronics,886.3,2,0.15937668361762974
284,43,Male,77006,27,3,36,Electronics,223.98,1,0.1319162035124178
285,63,Female,121652,20,1,26,Sports,169.58,1,0.20869961322736563
286,51,Male,124670,66,2,43,Clothing,184.8,1,0.09815262100896109
287,31,Male,119460,69,2,22,Clothing,486.21,1,0.02422295527473998
288,56,Male,117922,69,2,41,Home & Garden,98.83,1,0.1048071391094977
289,38,Male,84577,70,7,27,Sports,631.28,2,0.053023777213544586
290,43,Male,64136,61,1,19,Electronics,680.92,0,0.09815144991217181
291,45,Female,57845,32,6,41,Clothing,934.34,0,0.16522237884944244
292,62,Other,38250,63,5,22,Home & Garden,723.93,0,0.07364102295559624
293,45,Other,54819,72,3,47,Sports,553.44,3,0.07876506295261883
294,47,Other,89077,43,1,35,Clothing,547.85,0,0.06297044829706337
295,18,Other,135713,79,7,18,Electronics,871.12,2,0.21673590732319115
296,56,Other,129611,23,3,48,Sports,98.85,1,0.2086005210158734
297,40,Male,97995,47,4,9,Sports,101.35,1,0.13086738265283346
298,39,Male,132488,40,5,37,Sports,82.16,1,0.25120808211030354
299,59,Male,36383,5,6,31,Groceries,82.77,1,0.006083244507618984
300,55,Other,144624,38,2,23,Groceries,652.26,1,-0.004260306898832834
301,52,Female,106147,2,6,19,Groceries,412.65,1,0.10864720342980594
302,50,Other,130668,39,5,25,Home & Garden,69.81,1,0.293533325026997
303,59,Female,57745,33,7,42,Electronics,492.87,0,0.08212663499310371
304,50,Female,78296,93,9,47,Electronics,559.16,2,0.07103062905412874
305,32,Male,39407,50,6,13,Sports,844.22,0,0.12831650202286457
306,48,Male,39407,82,5,27,Sports,463.07,3,0.24318391474841566
307,26,Other,135530,81,2,12,Home & Garden,126.35,1,0.09873065764141677
308,54,Female,76995,14,3,46,Electronics,685.09,0,0.1856717952798431
309,64,Female,96182,44,4,8,Groceries,509.31,0,0.021341153480962563
310,50,Male,100320,45,7,29,Sports,139.39,1,0.140536573768575
311,53,Male,138922,45,5,22,Electronics,154.06,1,0.23610842115659683
312,30,Male,143200,38,8,30,Sports,684.43,2,0.1336830654796088
313,69,Other,35218,47,4,33,Electronics,315.49,3,0.029748732102462778
314,44,Male,141748,55,2,50,Groceries,897.57,2,0.1953082134450312
315,68,Female,62971,27,8,17,Electronics,85.45,1,0.01957646564143427
316,20,Female,57260,47,2,49,Electronics,506.7,0,-0.003599718016612064
317,18,Other,92363,84,1,10,Electronics,539.74,3,0.08163945358196237
318,23,Other,84664,45,5,12,Electronics,592.72,0,0.03953136110142895
319,61,Other,47790,67,9,5,Home & Garden,714.29,3,0.01739322753597197
320,34,Male,31668,43,5,40,Clothing,117.01,3,0.16251428314764468
321,43,Female,78858,4,3,38,Sports,261.19,1,0.09134997975856907
322,46,Other,126553,16,2,22,Home & Garden,85.56,1,0.30195608145295255
323,55,Other,80006,44,2,49,Clothing,727.51,0,0.06500666109083975
324,30,Male,119162,15,9,38,Home & Garden,937.85,2,0.10149052973320673
325,41,Other,71410,69,1,32,Home & Garden,456.67,3,0.08681418101447909
326,59,Other,49020,100,2,42,Groceries,588.18,3,0.10734951778832119
327,50,Male,36022,11,6,49,Clothing,801.59,0,0.22813675911037812
328,41,Female,64634,55,9,44,Groceries,488.07,3,0.02876524856616215
329,68,Other,76921,79,1,23,Groceries,122.02,3,0.0837572386733671
330,28,Male,51087,60,4,42,Groceries,68.31,3,0.15711204430772657
331,30,Male,90651,88,9,37,Groceries,555.41,2,0.06322200206215345
332,38,Other,50518,70,1,38,Sports,816.09,0,0.08019945670366521
